datetime,value,variable,device,device_name
2023-10-31 00:00:00-05:00,128.17,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 23:57:00-05:00,128.52,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 23:54:00-05:00,128.79,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 23:51:00-05:00,128.65,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 23:48:00-05:00,127.95,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 23:45:00-05:00,128.08,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 23:42:00-05:00,128.02,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 23:39:00-05:00,128.44,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 23:36:00-05:00,128.53,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 23:33:00-05:00,127.93,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 23:30:00-05:00,127.68,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 23:27:00-05:00,128.45,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 23:24:00-05:00,128.87,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 23:21:00-05:00,129.06,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 23:18:00-05:00,128.98,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 23:15:00-05:00,128.63,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 23:12:00-05:00,128.58,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 23:09:00-05:00,128.28,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 23:06:00-05:00,128.67,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 23:03:00-05:00,129.01,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 23:00:00-05:00,128.95,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 22:57:00-05:00,128.28,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 22:54:00-05:00,128.27,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 22:51:00-05:00,128.18,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 22:48:00-05:00,128.69,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 22:45:00-05:00,128.68,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 22:42:00-05:00,128.71,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 22:39:00-05:00,128.02,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 22:36:00-05:00,128.16,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 22:33:00-05:00,128.15,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 22:30:00-05:00,128.49,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 22:27:00-05:00,128.28,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 22:24:00-05:00,128.53,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 22:21:00-05:00,127.93,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 22:18:00-05:00,128.05,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 22:15:00-05:00,128.15,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 22:12:00-05:00,128.42,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 22:09:00-05:00,128.39,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 22:06:00-05:00,127.85,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 22:03:00-05:00,127.96,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 22:00:00-05:00,127.92,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 21:57:00-05:00,128.26,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 21:54:00-05:00,127.96,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 21:51:00-05:00,128.21,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 21:48:00-05:00,127.72,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 21:45:00-05:00,127.72,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 21:42:00-05:00,127.53,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 21:39:00-05:00,127.78,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 21:36:00-05:00,127.86,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 21:33:00-05:00,127.77,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 21:30:00-05:00,127.48,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 21:27:00-05:00,127.41,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 21:24:00-05:00,127.44,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 21:21:00-05:00,127.74,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 21:18:00-05:00,127.92,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 21:15:00-05:00,127.73,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 21:12:00-05:00,127.19,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 21:09:00-05:00,127.25,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 21:06:00-05:00,127.26,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 21:03:00-05:00,127.87,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 21:00:00-05:00,127.48,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:57:00-05:00,127.68,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 20:54:00-05:00,127.1,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
